page_id,total_ads,estimated_audience_size_mean,estimated_audience_size_median,estimated_audience_size_sum,estimated_impressions_mean,estimated_impressions_median,estimated_impressions_sum,estimated_spend_mean,estimated_spend_median,estimated_spend_sum,advocacy_msg_type_illuminating_<lambda>,issue_msg_type_illuminating_<lambda>,covid_topic_illuminating_mean,economy_topic_illuminating_mean,education_topic_illuminating_mean
067b0361de16e0ba140a55fd3cb2ee4eeadfd5b6d412bb4fde81d5716bd327b2,2,1000001.0,1000001.0,2000002,144999.0,144999.0,289998,2749.0,2749.0,5498,1,1,0.0,0.0,0.0
069d0a16621231eed300840b536b03c147da3d57872c0b29fc8590a30ea12f99,4,17012.5,18750.0,68050,5249.0,4999.0,20996,99.0,99.0,396,1,0,0.0,0.0,0.0
069e85cc8ae148d59498dd5ac78f43819c5b2ae1951707c171feef6fe75e7cfe,1,300000.0,300000.0,300000,22499.0,22499.0,22499,249.0,249.0,249,1,1,0.0,0.0,0.0
06a7972afc96089494f0dc0cf412c05be3166b29fc616a3322fb9c03d639d290,751,1000001.0,1000001.0,751000751,929.76,499.0,698249,59.65,49.0,44799,1,1,0.0,0.02,0.01
06aaa24ec2278652d5b18facaf71cf2457ad311104915bf8dac2631d638abea1,3,102000.0,3000.0,306000,499.0,499.0,1497,49.0,49.0,147,1,1,0.0,0.0,0.0
06aff138425184807d586f515949b6541b3ef9dda722ca670fae16db8dc7de51,8,39818.75,3000.0,318550,4749.0,4499.0,37992,111.5,99.0,892,1,1,0.0,0.5,0.0
06b549a2bec4bf78fbf6799617961019875b7679d6ede4dee3ad63f0792ef56c,1,1000001.0,1000001.0,1000001,1499.0,1499.0,1499,49.0,49.0,49,0,0,0.0,0.0,0.0
06c613eb8e8e5eeacc5f839cb3dd1eb9c18bbb8c8413c7b37454d4dc21ea9b29,9,1000001.0,1000001.0,9000009,1276.78,499.0,11491,49.0,49.0,441,0,0,0.0,0.0,0.0
06cffc23baffce41ff06a03f4760da436b060bbecf8572ae01020ad309346c81,2,875000.5,875000.5,1750001,3999.0,3999.0,7998,149.0,149.0,298,1,1,0.0,1.0,0.0
06d335dc3242f42ee59daa0c0ee78d16930a2db9ef93e9c16ca52494f2e0fe25,1,300000.0,300000.0,300000,6499.0,6499.0,6499,149.0,149.0,149,0,0,0.0,0.0,0.0
06eee9947f523265eafdd8d6137a81f2932003a268a12ae9d33c97f8243b8386,34,149117.65,30000.0,5070000,65160.76,22499.0,2215466,763.71,399.0,25966,1,0,0.0,0.12,0.12
06ef324b9d7969313fb4c414bada9a9f9caaaba10150c68d6c744712068f4002,1,1000001.0,1000001.0,1000001,12499.0,12499.0,12499,149.0,149.0,149,0,1,0.0,0.0,0.0
